trainStation,departureTime
8502199,01942 
8502177,01943 
8502197,01945 
8502178,01947 
8502179,01948 
8502195,01950 
8502180,01951 
8502194,01955 
8502181,01956 
8502182,01957 
8502196,01958 
8502192,02000 
8502191,02001 
8502113,01924 
8502191,01925 
8502192,01927 
8502196,01929 
8502182,01930 
8502181,01932 
8502194,01934 
8502180,01938 
8502195,01940 
8502179,01941 
8502178,01943 
8502197,01945 
8502177,01946 
8502113,01954 
8502191,01955 
8502192,01957 
8502196,01959 
8502182,02000 
8502181,02002 
8502194,02004 
8502180,02008 
8502195,02010 
8502179,02011 
8502178,02013 
8502197,02015 
8502177,02016 
8502113,02024 
8502191,02025 
8502192,02027 
8502196,02029 
8502182,02030 
8502181,02032 
8502194,02034 
8502180,02038 
8502195,02040 
8502179,02041 
8502178,02043 
8502197,02045 
8502177,02046 
8504298,00504 
8504297,00511 
8504296,00517 
8504295,00522 
8504294,00525 
8504293,00529 
8504292,00532 
8504291,00533 
8530263,00534 
8504200,00525 
8530263,00526 
8504291,00527 
8504292,00528 
8504293,00531 
8504294,00535 
8504295,00541 
8504296,00544 
8504297,00551 
8504298,00604 
8504297,00611 
8504296,00617 
8504295,00622 
8504294,00625 
8504293,00629 
8504292,00632 
8504291,00633 
8530263,00634 
8504200,00605 
8530263,00606 
8504291,00607 
8504292,00608 
8504293,00611 
8504294,00615 
8504295,00621 
8504296,00624 
8504297,00631 
8504298,00704 
8504297,00711 
8504296,00717 
8504295,00722 
8504294,00725 
8504293,00729 
8504292,00732 
8504291,00733 
8530263,00734 
8504200,00705 
8530263,00706 
8504291,00707 
8504292,00708 
8504293,00711 
8504294,00715 
8504295,00721 
8504296,00724 
8504297,00731 
8504298,00711 
8504297,00718 
8504296,00724 
8504295,00729 
8504294,00732 
8504293,00736 
8504292,00739 
8504291,00740 
8530263,00741 
8504200,00712 
8530263,00713 
8504291,00714 
8504292,00715 
8504293,00718 
8504294,00724 
8504295,00730 
8504296,00733 
8504297,00740 
8504298,00811 
8504297,00818 
